TABLE:  Element Forces - Columns,,,,,,,,,,,,,,
Story,Column,Unique Name,Output Case,Case Type,Station,P,V2,V3,T,M2,M3,Element,Elem Station,Location
,,,,,m,kN,kN,kN,kN-m,kN-m,kN-m,,m,
Roof,C128,306,"Qk_Cat.E,Partition,NR Live",LinStatic,3.225,0.0241,0.0255,0.0158,-0.0017,-0.0273,-0.0116,306,3.225,
Roof,C129,307,Gk,LinStatic,0,-155.2294,0.8074,45.8729,-0.8755,70.6511,12.2017,307,0,
Roof,C129,307,Gk,LinStatic,1.6125,-145.4738,0.8074,45.8729,-0.8755,-3.319,10.8997,307,1.6125,
Roof,C129,307,Gk,LinStatic,3.225,-135.7182,0.8074,45.8729,-0.8755,-77.2891,9.5977,307,3.225,
Roof,C129,307,Qk,LinStatic,0,-9.3239,0.3587,4.6226,-0.062,7.8582,2.2705,307,0,
Roof,C129,307,Qk,LinStatic,1.6125,-9.3239,0.3587,4.6226,-0.062,0.4043,1.692,307,1.6125,
Roof,C129,307,Qk,LinStatic,3.225,-9.3239,0.3587,4.6226,-0.062,-7.0496,1.1135,307,3.225,
Roof,C129,307,"Qk_Cat.A,B,C,D,F,H",LinStatic,0,-9.2888,0.329,4.5744,-0.0596,7.7633,2.2315,307,0,
Roof,C129,307,"Qk_Cat.A,B,C,D,F,H",LinStatic,1.6125,-9.2888,0.329,4.5744,-0.0596,0.3872,1.7011,307,1.6125,
Roof,C129,307,"Qk_Cat.A,B,C,D,F,H",LinStatic,3.225,-9.2888,0.329,4.5744,-0.0596,-6.989,1.1706,307,3.225,
Roof,C129,307,"Qk_Cat.E,Partition,NR Live",LinStatic,0,-0.035,0.0298,0.0482,-0.0024,0.0949,0.0389,307,0,
Roof,C129,307,"Qk_Cat.E,Partition,NR Live",LinStatic,1.6125,-0.035,0.0298,0.0482,-0.0024,0.0172,-0.0091,307,1.6125,
Roof,C129,307,"Qk_Cat.E,Partition,NR Live",LinStatic,3.225,-0.035,0.0298,0.0482,-0.0024,-0.0606,-0.0571,307,3.225,
Roof,C130,308,Gk,LinStatic,0,-39.6044,-4.676,-5.5683,-0.8755,-1.3755,3.7326,308,0,
Roof,C130,308,Gk,LinStatic,1.6125,-29.8488,-4.676,-5.5683,-0.8755,7.6034,11.2726,308,1.6125,
Roof,C130,308,Gk,LinStatic,3.225,-20.0932,-4.676,-5.5683,-0.8755,16.5823,18.8126,308,3.225,
Roof,C130,308,Qk,LinStatic,0,4.0477,-1.2966,0.1345,-0.062,0.2166,0.5487,308,0,
Roof,C130,308,Qk,LinStatic,1.6125,4.0477,-1.2966,0.1345,-0.062,-0.0003,2.6395,308,1.6125,
Roof,C130,308,Qk,LinStatic,3.225,4.0477,-1.2966,0.1345,-0.062,-0.2171,4.7303,308,3.225,
Roof,C130,308,"Qk_Cat.A,B,C,D,F,H",LinStatic,0,4.0394,-1.3096,0.1111,-0.0596,0.1788,0.5558,308,0,
Roof,C130,308,"Qk_Cat.A,B,C,D,F,H",LinStatic,1.6125,4.0394,-1.3096,0.1111,-0.0596,-0.0003,2.6676,308,1.6125,
Roof,C130,308,"Qk_Cat.A,B,C,D,F,H",LinStatic,3.225,4.0394,-1.3096,0.1111,-0.0596,-0.1794,4.7794,308,3.225,
